Algorytm,P1,Funkcja testowa,Liczba parametrów,Liczba iteracji,Rozmiar populacji,Znalezione minimum,Odchylenie std parametrów,Wartość funkcji celu,Wartość funkcji celu (najgorsza),Odchylenie std funkcji celu
GTOA,10000,Beale,2,40,80,"(3.0000, 0.5000)","(0.0000, 0.0000)",1.366e-28,5.769e-26,0.000
GTOA,10000,Beale,2,60,80,"(3.0000, 0.5000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,Beale,2,80,80,"(3.0000, 0.5000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,BukinN6,2,5,10,"(-5.0000, 0.2500)","(2.4323, 0.4049)",7.567e-01,4.562e+00,1.337
GTOA,10000,BukinN6,2,10,10,"(-5.6417, 0.3183)","(2.4131, 0.4028)",1.431e-01,9.873e-01,0.263
GTOA,10000,BukinN6,2,20,10,"(-10.5823, 1.1198)","(2.4068, 0.4016)",1.040e-02,9.902e-02,0.024
GTOA,10000,BukinN6,2,40,10,"(-10.5822, 1.1198)","(2.4069, 0.4016)",5.831e-03,5.000e-02,0.014
GTOA,10000,BukinN6,2,60,10,"(-10.5822, 1.1198)","(2.4069, 0.4016)",5.822e-03,5.000e-02,0.014
GTOA,10000,BukinN6,2,80,10,"(-10.5822, 1.1198)","(2.3620, 0.3942)",5.822e-03,5.000e-02,0.014
GTOA,10000,BukinN6,2,5,20,"(-12.9793, 1.6845)","(3.2219, 0.6345)",8.987e-01,6.074e+00,1.653
GTOA,10000,BukinN6,2,10,20,"(-9.4682, 0.8965)","(3.4016, 0.6646)",7.999e-02,1.111e+00,0.339
GTOA,10000,BukinN6,2,20,20,"(-12.9820, 1.6853)","(3.3837, 0.6618)",3.331e-02,1.585e-01,0.039
GTOA,10000,BukinN6,2,40,20,"(-9.4686, 0.8965)","(3.0089, 0.5761)",7.768e-03,4.694e-02,0.012
GTOA,10000,BukinN6,2,60,20,"(-10.0277, 1.0055)","(3.0180, 0.5770)",5.446e-04,4.692e-02,0.016
GTOA,10000,BukinN6,2,80,20,"(-10.0277, 1.0055)","(3.0181, 0.5770)",5.446e-04,4.692e-02,0.016
GTOA,10000,BukinN6,2,5,40,"(-6.0489, 0.3658)","(2.2771, 0.4871)",7.211e-01,2.948e+00,0.753
GTOA,10000,BukinN6,2,10,40,"(-7.0276, 0.4939)","(2.4169, 0.5142)",1.149e-01,1.866e+00,0.516
GTOA,10000,BukinN6,2,20,40,"(-10.1585, 1.0320)","(2.4440, 0.5112)",9.231e-03,1.045e-01,0.032
GTOA,10000,BukinN6,2,40,40,"(-10.1591, 1.0321)","(2.3609, 0.4994)",2.070e-03,4.913e-02,0.014
GTOA,10000,BukinN6,2,60,40,"(-10.1494, 1.0301)","(2.3611, 0.4994)",1.502e-03,4.893e-02,0.014
GTOA,10000,BukinN6,2,80,40,"(-10.1494, 1.0301)","(2.3611, 0.4994)",1.494e-03,4.893e-02,0.014
GTOA,10000,BukinN6,2,5,80,"(-5.0000, 0.2500)","(2.7354, 0.4597)",3.598e-01,1.627e+00,0.394
GTOA,10000,BukinN6,2,10,80,"(-12.3203, 1.5179)","(2.6561, 0.4575)",1.141e-01,4.078e-01,0.094
GTOA,10000,BukinN6,2,20,80,"(-10.3321, 1.0675)","(2.7816, 0.4781)",9.957e-03,1.086e-01,0.027
GTOA,10000,BukinN6,2,40,80,"(-10.3327, 1.0677)","(2.7719, 0.4768)",3.357e-03,5.366e-02,0.016
GTOA,10000,BukinN6,2,60,80,"(-10.3327, 1.0677)","(2.6627, 0.4602)",3.329e-03,4.994e-02,0.015
GTOA,10000,BukinN6,2,80,80,"(-10.3327, 1.0677)","(2.6626, 0.4602)",3.327e-03,4.994e-02,0.015
