Algorytm,P1,Funkcja testowa,Liczba parametrów,Liczba iteracji,Rozmiar populacji,Znalezione minimum,Odchylenie std parametrów,Wartość funkcji celu,Wartość funkcji celu (najgorsza),Odchylenie std funkcji celu
GTOA,50000,Rastrigin,10,80,40,"(-0.0000, -0.0000, 0.0000, -0.0000, -0.0000, -0.0000, 0.0000, 0.0000, -0.0000, 0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,50000,Rastrigin,10,5,80,"(0.0200, -0.0249, -0.0227, -0.0460, -0.0432, 0.0258, 0.0576, 0.0041, -0.0250, 0.0010)","(0.6519, 0.5568, 0.5213, 0.2961, 0.6420, 0.4637, 0.5363, 0.5913, 0.4593, 1.0874)",1.997e+00,4.009e+01,10.780
GTOA,50000,Rastrigin,10,10,80,"(0.0030, 0.0014, -0.0000, 0.0002, -0.0007, -0.0018, -0.0001, 0.0001, -0.0014, 0.0002)","(0.0362, 0.0305, 0.0142, 0.0170, 0.0195, 0.0174, 0.0202, 0.0276, 0.0475, 0.0188)",3.288e-03,9.962e+00,2.963
GTOA,50000,Rastrigin,10,20,80,"(-0.0000, -0.0000, 0.0000, 0.0000, 0.0000, -0.0000, 0.0000, -0.0000, 0.0000, -0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",8.065e-10,9.653e-06,0.000
GTOA,50000,Rastrigin,10,40,80,"(-0.0000, -0.0000, -0.0000, -0.0000, 0.0000, -0.0000, 0.0000, 0.0000, 0.0000, -0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,50000,Rastrigin,10,60,80,"(-0.0000, -0.0000, -0.0000, -0.0000, 0.0000, -0.0000, 0.0000, 0.0000, 0.0000, -0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,50000,Rastrigin,10,80,80,"(-0.0000, -0.0000, -0.0000, -0.0000, 0.0000, -0.0000, 0.0000, 0.0000, 0.0000, -0.0000)","(0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,Rosenbrock,2,5,10,"(1.0052, 1.0094)","(0.4621, 0.5100)",1.175e-04,1.310e+00,0.486
GTOA,10000,Rosenbrock,2,10,10,"(1.0040, 1.0083)","(0.3308, 0.4139)",2.200e-05,6.493e-01,0.275
GTOA,10000,Rosenbrock,2,20,10,"(1.0000, 1.0000)","(0.1512, 0.2465)",1.525e-10,2.229e-01,0.071
GTOA,10000,Rosenbrock,2,40,10,"(1.0000, 1.0000)","(0.0001, 0.0001)",1.274e-21,3.447e-07,0.000
GTOA,10000,Rosenbrock,2,60,10,"(1.0000, 1.0000)","(0.0000, 0.0000)",0.000e+00,2.925e-19,0.000
GTOA,10000,Rosenbrock,2,80,10,"(1.0000, 1.0000)","(0.0000, 0.0000)",0.000e+00,2.219e-28,0.000
GTOA,10000,Rosenbrock,2,5,20,"(1.0362, 1.0703)","(0.3264, 0.4205)",2.395e-03,9.518e-01,0.281
GTOA,10000,Rosenbrock,2,10,20,"(0.9983, 0.9966)","(0.1718, 0.2820)",2.944e-06,3.726e-01,0.110
GTOA,10000,Rosenbrock,2,20,20,"(1.0000, 1.0000)","(0.0073, 0.0147)",1.182e-11,6.419e-04,0.000
GTOA,10000,Rosenbrock,2,40,20,"(1.0000, 1.0000)","(0.0000, 0.0000)",1.410e-23,8.293e-16,0.000
GTOA,10000,Rosenbrock,2,60,20,"(1.0000, 1.0000)","(0.0000, 0.0000)",0.000e+00,6.122e-27,0.000
GTOA,10000,Rosenbrock,2,80,20,"(1.0000, 1.0000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,Rosenbrock,2,5,40,"(0.9933, 0.9881)","(0.1582, 0.2711)",2.897e-04,2.036e-01,0.063
GTOA,10000,Rosenbrock,2,10,40,"(0.9999, 0.9999)","(0.0229, 0.0458)",5.448e-09,4.595e-03,0.001
GTOA,10000,Rosenbrock,2,20,40,"(1.0000, 1.0000)","(0.0000, 0.0000)",2.674e-14,6.472e-09,0.000
GTOA,10000,Rosenbrock,2,40,40,"(1.0000, 1.0000)","(0.0000, 0.0000)",3.334e-26,5.058e-21,0.000
GTOA,10000,Rosenbrock,2,60,40,"(1.0000, 1.0000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,Rosenbrock,2,80,40,"(1.0000, 1.0000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,Rosenbrock,2,5,80,"(1.0027, 1.0056)","(0.0457, 0.0824)",1.209e-05,2.921e-02,0.009
GTOA,10000,Rosenbrock,2,10,80,"(1.0000, 1.0000)","(0.0010, 0.0020)",3.122e-09,1.858e-05,0.000
GTOA,10000,Rosenbrock,2,20,80,"(1.0000, 1.0000)","(0.0000, 0.0000)",5.308e-14,1.472e-11,0.000
GTOA,10000,Rosenbrock,2,40,80,"(1.0000, 1.0000)","(0.0000, 0.0000)",2.198e-26,5.003e-24,0.000
GTOA,10000,Rosenbrock,2,60,80,"(1.0000, 1.0000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,10000,Rosenbrock,2,80,80,"(1.0000, 1.0000)","(0.0000, 0.0000)",0.000e+00,0.000e+00,0.000
GTOA,25000,Rosenbrock,5,5,10,"(0.0130, 0.0142, 0.0097, 0.0115, -0.0005)","(0.0354, 0.0260, 0.0284, 0.0204, 0.0118)",3.946e+00,5.415e+00,0.414
GTOA,25000,Rosenbrock,5,10,10,"(0.0858, 0.0176, 0.0314, -0.0012, 0.0086)","(0.0351, 0.0066, 0.0098, 0.0132, 0.0040)",3.857e+00,3.998e+00,0.047
GTOA,25000,Rosenbrock,5,20,10,"(0.3498, 0.1400, 0.0045, 0.0291, 0.0400)","(0.1484, 0.0606, 0.0214, 0.0235, 0.0129)",3.388e+00,3.983e+00,0.225
GTOA,25000,Rosenbrock,5,40,10,"(0.4053, 0.1622, -0.0036, 0.0207, 0.0384)","(0.1671, 0.0737, 0.0261, 0.0206, 0.0128)",3.299e+00,3.983e+00,0.255
GTOA,25000,Rosenbrock,5,60,10,"(0.5120, 0.2778, 0.0236, -0.0320, -0.0172)","(0.1765, 0.0858, 0.0265, 0.0184, 0.0130)",3.229e+00,3.983e+00,0.273
GTOA,25000,Rosenbrock,5,80,10,"(0.5122, 0.2782, 0.0237, -0.0319, -0.0174)","(0.1761, 0.0846, 0.0262, 0.0191, 0.0137)",3.229e+00,3.983e+00,0.273
GTOA,25000,Rosenbrock,5,5,20,"(0.2075, 0.0539, 0.0080, 0.0327, 0.0055)","(0.0852, 0.0244, 0.0130, 0.0168, 0.0135)",3.565e+00,4.703e+00,0.269
GTOA,25000,Rosenbrock,5,10,20,"(0.4916, 0.2248, 0.0297, 0.0129, -0.0138)","(0.1397, 0.0649, 0.0165, 0.0195, 0.0166)",2.881e+00,3.935e+00,0.303
GTOA,25000,Rosenbrock,5,20,20,"(0.7226, 0.5270, 0.2520, 0.0607, -0.0499)","(0.2084, 0.1623, 0.0755, 0.0289, 0.0260)",2.099e+00,3.923e+00,0.570
GTOA,25000,Rosenbrock,5,40,20,"(0.7178, 0.5204, 0.2503, 0.0630, -0.0509)","(0.2574, 0.2069, 0.0970, 0.0293, 0.0411)",2.096e+00,3.923e+00,0.678
GTOA,25000,Rosenbrock,5,60,20,"(0.6712, 0.4454, 0.1814, 0.0451, -0.0024)","(0.2522, 0.2060, 0.0957, 0.0270, 0.0394)",2.046e+00,3.923e+00,0.688
GTOA,25000,Rosenbrock,5,80,20,"(0.6711, 0.4412, 0.1824, 0.0479, 0.0002)","(0.2534, 0.2077, 0.0984, 0.0268, 0.0400)",2.040e+00,3.923e+00,0.687
GTOA,25000,Rosenbrock,5,5,40,"(0.8754, 0.7736, 0.5881, 0.3467, 0.1128)","(0.2503, 0.2284, 0.1714, 0.1021, 0.0363)",6.845e-01,4.061e+00,0.971
GTOA,25000,Rosenbrock,5,10,40,"(0.8819, 0.7719, 0.5953, 0.3505, 0.1145)","(0.2062, 0.2159, 0.1711, 0.1077, 0.0403)",6.634e-01,3.883e+00,0.893
GTOA,25000,Rosenbrock,5,20,40,"(0.9515, 0.9124, 0.8139, 0.6384, 0.4469)","(0.2053, 0.2490, 0.2362, 0.1902, 0.1373)",4.277e-01,3.653e+00,0.914
GTOA,25000,Rosenbrock,5,40,40,"(0.9580, 0.9231, 0.8519, 0.7184, 0.5087)","(0.1806, 0.2316, 0.2441, 0.2132, 0.1557)",1.227e-01,3.592e+00,0.948
GTOA,25000,Rosenbrock,5,60,40,"(0.9582, 0.9241, 0.8525, 0.7201, 0.5104)","(0.1815, 0.2325, 0.2422, 0.2144, 0.1535)",1.225e-01,3.592e+00,0.935
GTOA,25000,Rosenbrock,5,80,40,"(0.9580, 0.9244, 0.8532, 0.7208, 0.5120)","(0.1822, 0.2332, 0.2427, 0.2142, 0.1550)",1.224e-01,3.592e+00,0.941
GTOA,25000,Rosenbrock,5,5,80,"(0.8755, 0.7799, 0.5840, 0.3323, 0.0901)","(0.2447, 0.2264, 0.1639, 0.0989, 0.0292)",8.088e-01,3.914e+00,0.914
GTOA,25000,Rosenbrock,5,10,80,"(0.9031, 0.8369, 0.6838, 0.4406, 0.1872)","(0.1440, 0.1894, 0.1809, 0.1244, 0.0585)",5.995e-01,3.223e+00,0.698
GTOA,25000,Rosenbrock,5,20,80,"(0.9302, 0.8801, 0.7602, 0.5908, 0.3357)","(0.0707, 0.1226, 0.1614, 0.1548, 0.0991)",3.209e-01,2.155e+00,0.513
GTOA,25000,Rosenbrock,5,40,80,"(0.9839, 0.9600, 0.9277, 0.8531, 0.7224)","(0.0530, 0.0948, 0.1562, 0.2123, 0.2163)",4.758e-02,1.491e+00,0.418
GTOA,25000,Rosenbrock,5,60,80,"(0.9952, 0.9883, 0.9775, 0.9550, 0.9113)","(0.0650, 0.1137, 0.1915, 0.2734, 0.3085)",3.221e-03,1.472e+00,0.471
GTOA,25000,Rosenbrock,5,80,80,"(0.9994, 0.9993, 0.9984, 0.9965, 0.9930)","(0.0697, 0.1233, 0.2104, 0.3082, 0.3714)",6.069e-05,1.468e+00,0.481
GTOA,50000,Rosenbrock,10,5,10,"(0.0425, 0.0180, -0.0017, -0.0005, 0.0081, -0.0068, -0.0058, 0.0214, 0.0078, 0.0098)","(0.0500, 0.0507, 0.0490, 0.0159, 0.0404, 0.0449, 0.0432, 0.0412, 0.0252, 0.0308)",8.938e+00,1.816e+01,2.668
GTOA,50000,Rosenbrock,10,10,10,"(0.0362, -0.0000, 0.0142, 0.0053, 0.0096, -0.0023, 0.0165, 0.0172, 0.0088, 0.0010)","(0.0144, 0.0052, 0.0042, 0.0059, 0.0081, 0.0044, 0.0041, 0.0071, 0.0043, 0.0059)",8.887e+00,8.985e+00,0.030
GTOA,50000,Rosenbrock,10,20,10,"(0.0407, 0.0009, 0.0151, 0.0052, 0.0115, -0.0034, 0.0184, 0.0190, 0.0106, 0.0008)","(0.0153, 0.0047, 0.0041, 0.0063, 0.0066, 0.0053, 0.0047, 0.0072, 0.0044, 0.0071)",8.886e+00,8.984e+00,0.031
GTOA,50000,Rosenbrock,10,40,10,"(0.0401, 0.0006, 0.0147, 0.0052, 0.0111, -0.0034, 0.0182, 0.0185, 0.0104, 0.0009)","(0.0145, 0.0049, 0.0038, 0.0065, 0.0066, 0.0049, 0.0046, 0.0076, 0.0039, 0.0077)",8.886e+00,8.984e+00,0.032
GTOA,50000,Rosenbrock,10,60,10,"(0.0400, 0.0007, 0.0146, 0.0052, 0.0111, -0.0034, 0.0182, 0.0184, 0.0104, 0.0009)","(0.0142, 0.0048, 0.0037, 0.0066, 0.0067, 0.0051, 0.0046, 0.0075, 0.0039, 0.0077)",8.886e+00,8.984e+00,0.032
GTOA,50000,Rosenbrock,10,80,10,"(0.0400, 0.0007, 0.0146, 0.0052, 0.0111, -0.0034, 0.0182, 0.0184, 0.0104, 0.0009)","(0.0142, 0.0048, 0.0037, 0.0066, 0.0067, 0.0051, 0.0046, 0.0075, 0.0039, 0.0076)",8.886e+00,8.984e+00,0.032
GTOA,50000,Rosenbrock,10,5,20,"(0.0045, -0.0013, 0.0028, 0.0058, -0.0072, 0.0096, 0.0081, -0.0015, 0.0068, -0.0079)","(0.0240, 0.0185, 0.0116, 0.0151, 0.0168, 0.0242, 0.0169, 0.0182, 0.0093, 0.0216)",8.981e+00,9.990e+00,0.309
GTOA,50000,Rosenbrock,10,10,20,"(0.0850, 0.0121, 0.0204, -0.0016, -0.0002, 0.0135, -0.0148, 0.0167, 0.0140, 0.0030)","(0.0244, 0.0048, 0.0081, 0.0044, 0.0047, 0.0054, 0.0082, 0.0043, 0.0049, 0.0065)",8.850e+00,8.974e+00,0.035
GTOA,50000,Rosenbrock,10,20,20,"(0.1280, 0.0218, 0.0135, 0.0037, 0.0049, 0.0170, -0.0274, 0.0228, 0.0115, -0.0008)","(0.0340, 0.0059, 0.0082, 0.0046, 0.0037, 0.0052, 0.0134, 0.0054, 0.0047, 0.0076)",8.817e+00,8.957e+00,0.040
GTOA,50000,Rosenbrock,10,40,20,"(0.1272, 0.0219, 0.0130, 0.0036, 0.0048, 0.0171, -0.0271, 0.0230, 0.0114, -0.0008)","(0.0337, 0.0058, 0.0085, 0.0046, 0.0037, 0.0053, 0.0134, 0.0055, 0.0046, 0.0077)",8.817e+00,8.954e+00,0.039
GTOA,50000,Rosenbrock,10,60,20,"(0.1266, 0.0212, 0.0136, 0.0035, 0.0050, 0.0170, -0.0267, 0.0231, 0.0115, -0.0013)","(0.0335, 0.0056, 0.0084, 0.0045, 0.0037, 0.0053, 0.0133, 0.0055, 0.0046, 0.0078)",8.816e+00,8.954e+00,0.039
GTOA,50000,Rosenbrock,10,80,20,"(0.1260, 0.0215, 0.0133, 0.0033, 0.0048, 0.0172, -0.0264, 0.0234, 0.0115, -0.0011)","(0.0333, 0.0057, 0.0084, 0.0045, 0.0039, 0.0053, 0.0132, 0.0056, 0.0046, 0.0077)",8.816e+00,8.954e+00,0.039
GTOA,50000,Rosenbrock,10,5,40,"(0.0143, 0.0006, 0.0105, -0.0015, 0.0235, 0.0161, 0.0062, -0.0037, 0.0053, -0.0107)","(0.0222, 0.0116, 0.0140, 0.0106, 0.0178, 0.0119, 0.0119, 0.0126, 0.0100, 0.0121)",8.968e+00,9.294e+00,0.111
GTOA,50000,Rosenbrock,10,10,40,"(0.0653, 0.0249, -0.0067, 0.0046, 0.0175, 0.0125, 0.0106, 0.0112, 0.0137, 0.0024)","(0.0197, 0.0062, 0.0060, 0.0071, 0.0061, 0.0051, 0.0027, 0.0076, 0.0052, 0.0051)",8.836e+00,8.929e+00,0.026
GTOA,50000,Rosenbrock,10,20,40,"(0.4074, 0.1686, -0.0047, -0.0124, 0.0019, 0.0398, 0.0334, -0.0102, 0.0413, -0.0014)","(0.1135, 0.0487, 0.0072, 0.0088, 0.0073, 0.0093, 0.0076, 0.0094, 0.0120, 0.0078)",8.438e+00,8.918e+00,0.135
GTOA,50000,Rosenbrock,10,40,40,"(0.4161, 0.1762, 0.0212, -0.0060, 0.0019, 0.0471, 0.0485, -0.0135, 0.0260, 0.0072)","(0.1154, 0.0509, 0.0053, 0.0079, 0.0071, 0.0114, 0.0118, 0.0103, 0.0087, 0.0079)",8.322e+00,8.918e+00,0.169
GTOA,50000,Rosenbrock,10,60,40,"(0.4149, 0.1756, 0.0206, -0.0061, 0.0020, 0.0467, 0.0480, -0.0135, 0.0262, 0.0071)","(0.1152, 0.0504, 0.0048, 0.0086, 0.0069, 0.0116, 0.0114, 0.0108, 0.0083, 0.0075)",8.322e+00,8.918e+00,0.169
GTOA,50000,Rosenbrock,10,80,40,"(0.4148, 0.1756, 0.0205, -0.0062, 0.0020, 0.0467, 0.0480, -0.0135, 0.0263, 0.0070)","(0.1152, 0.0503, 0.0049, 0.0082, 0.0068, 0.0116, 0.0115, 0.0107, 0.0083, 0.0080)",8.322e+00,8.918e+00,0.169
GTOA,50000,Rosenbrock,10,5,80,"(0.0135, -0.0009, 0.0180, 0.0024, 0.0039, 0.0067, 0.0032, -0.0012, 0.0131, 0.0073)","(0.0201, 0.0079, 0.0076, 0.0139, 0.0070, 0.0059, 0.0080, 0.0096, 0.0104, 0.0051)",8.946e+00,9.253e+00,0.084
GTOA,50000,Rosenbrock,10,10,80,"(0.2562, 0.0723, 0.0349, 0.0280, 0.0085, -0.0190, 0.0146, 0.0307, 0.0271, 0.0144)","(0.0800, 0.0197, 0.0087, 0.0069, 0.0054, 0.0132, 0.0062, 0.0080, 0.0092, 0.0121)",8.576e+00,8.940e+00,0.104
GTOA,50000,Rosenbrock,10,20,80,"(0.3209, 0.1018, 0.0164, 0.0259, 0.0127, -0.0275, 0.0064, 0.0403, 0.0282, 0.0170)","(0.0937, 0.0285, 0.0073, 0.0088, 0.0079, 0.0143, 0.0089, 0.0150, 0.0098, 0.0080)",8.490e+00,8.907e+00,0.140
